City,Temperature (°C),Min_Temperature (°C),Max_Temperature (°C),Feels_Like (°C),Pressure (hpa),Weather,Humidity (%),Wind Speed (m/s),TimeZone (sec)
Mumbai,30.99,28.94,30.99,29.72,1010,smoke,30,4.12,19800
Andheri,20.76,20.76,20.76,19.75,1013,clear sky,33,1.29,20700
Borivali,28.9,28.9,30.95,29.3,1010,smoke,48,4.12,19800
Pune,29.02,29.02,29.02,27.39,1010,overcast clouds,15,2.25,19800
Pimpri-Chinchwad,28.79,28.79,28.79,27.22,1010,overcast clouds,15,1.89,19800
Haveli Lakha,22.54,22.54,22.54,21.03,1015,clear sky,7,3.0,18000
Mulshi,28.59,28.59,28.59,27.07,1010,overcast clouds,15,1.08,19800
Khed,32.65,32.65,32.65,30.34,1009,overcast clouds,14,3.5,19800
Aundh,27.59,27.59,27.59,26.35,1010,broken clouds,14,2.6,19800
Junnar,28.22,28.22,28.22,26.78,1011,overcast clouds,13,0.55,19800
Nagpur,27.01,27.01,27.01,26.68,1011,haze,36,1.54,19800
Kamptee,27.17,27.17,27.17,26.12,1011,scattered clouds,17,1.12,19800
Narkhed,27.28,27.28,27.28,26.17,1011,scattered clouds,16,0.4,19800
Umred,26.88,26.88,26.88,25.98,1011,broken clouds,19,1.89,19800
Saoner,27.26,27.26,27.26,26.16,1011,clear sky,16,0.89,19800
Nashik,28.33,28.33,28.33,26.86,1011,overcast clouds,13,1.81,19800
Nāndgaon,28.91,28.91,28.91,27.29,1011,overcast clouds,12,1.07,19800
Dindori,26.42,26.42,26.42,26.42,1012,clear sky,13,1.95,19800
Trimbak,27.74,27.74,27.74,26.45,1011,overcast clouds,14,1.76,19800
Igatpuri,28.74,28.74,28.74,27.17,1010,overcast clouds,13,1.64,19800
Aurangabad,30.05,30.05,30.05,29.99,1011,haze,42,2.06,19800
Jālna,27.88,27.88,27.88,26.56,1011,scattered clouds,15,1.69,19800
Paithan,28.51,28.51,28.51,27.01,1011,scattered clouds,15,2.03,19800
Sillod,27.54,27.54,27.54,26.28,1011,overcast clouds,12,1.44,19800
Kannad,27.69,27.69,27.69,26.4,1011,overcast clouds,13,0.89,19800
Kolhāpur,28.64,28.64,28.64,27.17,1010,broken clouds,19,2.38,19800
Shirol,28.96,28.96,28.96,27.37,1010,overcast clouds,17,2.17,19800
Solapur,29.24,29.24,29.24,27.54,1010,broken clouds,13,1.41,19800
Barshi,29.09,29.09,29.09,27.43,1010,overcast clouds,12,1.18,19800
Karmāla,28.62,28.62,28.62,27.07,1010,broken clouds,12,1.9,19800
Pandharpur,28.78,28.78,28.78,27.21,1010,overcast clouds,15,1.89,19800
Thāne,30.95,28.9,30.95,29.68,1010,smoke,30,4.12,19800
Kalyān,32.96,32.96,32.96,30.57,1009,broken clouds,9,1.33,19800
Ulhasnagar,32.52,32.52,32.52,30.2,1009,overcast clouds,10,1.37,19800
Ambernath,32.52,32.52,32.52,30.19,1009,broken clouds,11,1.39,19800
Badlapur,32.36,32.36,32.36,30.07,1009,broken clouds,13,2.07,19800
Bhiwandi,32.83,32.83,32.83,30.46,1009,overcast clouds,10,1.55,19800
Satara,27.88,27.88,27.88,26.58,1010,broken clouds,16,1.75,19800
Karad,29.21,29.21,29.21,27.53,1010,broken clouds,15,1.48,19800
Khatav,27.89,27.89,27.89,26.57,1010,scattered clouds,15,2.71,19800
Wai,28.1,28.1,28.1,26.75,1011,overcast clouds,17,2.38,19800
Phaltan,28.53,28.53,28.53,27.04,1010,broken clouds,16,2.25,19800
Sawantwadi,31.98,31.98,31.98,29.91,1008,broken clouds,19,4.3,19800
Kudāl,30.97,30.97,30.97,29.31,1008,broken clouds,25,5.12,19800
Mālvan,26.93,26.93,26.93,26.81,1009,broken clouds,40,5.39,19800
Vengurla,27.88,27.88,27.88,27.32,1009,broken clouds,36,5.52,19800
Chānda,27.74,27.74,27.74,26.5,1011,overcast clouds,17,1.59,19800
